age,favorite_influencer,preferred_color,shopping_frequency,instagram_hours,tiktok_hours,budget_range,preferred_store,fashion_style
21,billie_eilish,white,5,5.1,2.7,137,nike,streetwear
17,zendaya,brown,6,1.6,4.0,256,asos,minimal
16,billie_eilish,black,6,2.4,1.2,172,shein,streetwear
23,style_blogger,yellow,1,3.8,2.5,85,urban_outfitters,vintage
19,none,green,3,5.5,1.9,81,urban_outfitters,streetwear
22,none,white,7,2.8,1.2,37,shein,y2k
23,none,black,2,6.6,4.0,146,adidas,streetwear
23,none,brown,7,3.3,0.8,261,zara,minimal
25,asap_rocky,black,5,3.9,3.6,174,shein,streetwear
20,rihanna,white,5,3.4,3.2,178,nike,athleisure
24,rihanna,green,1,7.1,2.2,145,zara,athleisure
22,style_blogger,beige,2,5.4,1.4,93,urban_outfitters,minimal
21,style_blogger,brown,7,5.8,3.4,48,thrift_stores,vintage
20,style_blogger,beige,2,6.0,0.9,244,asos,minimal
21,none,red,1,4.5,2.5,147,adidas,streetwear
16,bella_hadid,white,6,6.2,0.8,123,adidas,athleisure
19,bella_hadid,white,1,6.1,2.6,40,forever21,y2k
21,none,green,2,1.2,1.4,128,adidas,athleisure
18,none,white,2,4.3,1.7,136,forever21,y2k
23,style_blogger,black,3,6.7,3.3,121,hm,minimal
18,harry_styles,black,1,2.0,3.8,93,shein,streetwear
22,emma_chamberlain,yellow,5,6.3,3.0,102,urban_outfitters,vintage
21,none,blue,5,5.7,0.7,88,asos,y2k
22,emma_chamberlain,purple,5,6.1,1.2,36,shein,y2k
23,none,purple,3,3.2,3.4,123,shein,y2k
16,emma_chamberlain,white,5,4.7,2.0,124,zara,minimal
22,billie_eilish,white,5,5.4,3.6,142,adidas,streetwear
25,style_blogger,white,7,2.3,1.8,113,zara,minimal
18,asap_rocky,black,1,5.1,1.5,111,nike,streetwear
24,style_blogger,white,1,1.8,1.7,212,urban_outfitters,minimal
17,asap_rocky,black,1,5.8,1.3,122,urban_outfitters,streetwear
25,emma_chamberlain,white,6,5.2,3.7,118,urban_outfitters,minimal
17,none,black,6,5.3,2.3,197,shein,streetwear
25,billie_eilish,black,5,1.4,3.9,52,shein,streetwear
16,none,red,6,8.0,3.6,54,urban_outfitters,vintage
18,asap_rocky,white,5,1.6,3.6,122,shein,streetwear
18,billie_eilish,black,7,5.6,2.4,125,urban_outfitters,streetwear
17,bella_hadid,black,2,1.6,1.3,192,nike,athleisure
20,bella_hadid,white,2,5.0,2.8,91,urban_outfitters,y2k
23,style_blogger,yellow,4,7.0,3.5,38,asos,vintage
24,rihanna,green,6,2.3,3.6,159,zara,athleisure
25,none,black,6,7.4,0.5,219,adidas,athleisure
17,emma_chamberlain,pink,3,7.9,2.7,125,shein,y2k
17,style_blogger,black,7,4.8,3.9,149,zara,minimal
20,none,white,1,6.4,3.0,117,nike,streetwear
21,none,black,7,7.8,3.1,109,hm,athleisure
18,style_blogger,brown,7,6.7,1.4,52,thrift_stores,vintage
22,rihanna,green,7,4.7,3.4,158,adidas,athleisure
19,none,pink,1,7.7,0.6,104,shein,y2k
20,none,brown,3,3.2,1.6,226,zara,minimal
21,rihanna,black,2,7.1,2.2,84,zara,athleisure
23,asap_rocky,black,6,4.7,0.6,57,shein,streetwear
20,none,beige,6,5.2,2.6,94,hm,minimal
19,rihanna,white,5,2.9,3.3,122,zara,athleisure
16,asap_rocky,black,6,3.0,2.9,159,shein,streetwear
16,none,white,1,1.7,2.5,80,shein,y2k
21,none,red,1,4.6,0.8,51,asos,vintage
16,dua_lipa,purple,6,5.9,3.4,67,urban_outfitters,y2k
25,asap_rocky,white,6,5.3,2.6,172,urban_outfitters,streetwear
24,none,black,7,6.7,0.8,141,urban_outfitters,minimal
19,none,yellow,4,6.1,0.8,22,thrift_stores,vintage
21,none,beige,4,6.2,3.6,38,asos,vintage
20,style_blogger,red,5,8.0,3.9,37,urban_outfitters,vintage
18,billie_eilish,black,1,7.1,3.0,146,shein,streetwear
23,bella_hadid,white,2,7.1,2.5,79,adidas,athleisure
19,billie_eilish,white,6,5.6,4.0,128,shein,streetwear
25,emma_chamberlain,black,1,1.9,3.0,119,urban_outfitters,minimal
22,style_blogger,red,5,4.1,0.8,56,asos,vintage
23,none,brown,1,3.8,3.5,36,thrift_stores,vintage
20,none,black,7,2.7,0.8,104,nike,athleisure
25,none,black,3,7.6,1.4,192,nike,athleisure
21,asap_rocky,red,4,4.1,3.5,98,shein,streetwear
21,rihanna,black,5,7.6,0.6,189,nike,athleisure
22,rihanna,black,6,5.8,1.9,220,adidas,athleisure
17,bella_hadid,white,7,4.2,2.3,79,asos,y2k
17,none,black,2,2.4,2.9,185,adidas,athleisure
17,none,black,6,2.8,2.8,151,shein,streetwear
22,style_blogger,white,7,5.0,0.6,224,urban_outfitters,minimal
23,none,black,5,5.7,2.5,110,asos,minimal
17,bella_hadid,white,5,6.5,2.5,70,asos,y2k
24,harry_styles,red,6,7.3,3.6,181,adidas,streetwear
22,none,black,5,3.3,1.8,113,zara,athleisure
22,style_blogger,red,1,4.1,0.6,52,thrift_stores,vintage
18,harry_styles,red,2,7.7,3.5,58,nike,streetwear
20,zendaya,beige,4,4.3,1.9,127,asos,minimal
22,none,brown,7,7.3,0.7,100,zara,minimal
24,style_blogger,brown,2,2.2,2.7,32,thrift_stores,vintage
20,bella_hadid,green,2,5.3,3.0,94,adidas,athleisure
16,none,blue,2,6.6,1.1,36,urban_outfitters,y2k
23,zendaya,brown,7,6.7,1.8,163,hm,minimal
25,asap_rocky,white,1,6.6,2.8,70,shein,streetwear
23,none,green,5,3.1,3.1,108,nike,athleisure
19,none,black,7,5.1,1.1,223,nike,athleisure
18,dua_lipa,blue,7,2.6,1.2,51,shein,y2k
25,none,black,3,5.2,2.9,212,hm,athleisure
25,none,blue,3,5.2,1.7,83,nike,athleisure
22,emma_chamberlain,black,1,2.6,1.7,243,zara,minimal
19,none,blue,5,2.9,2.6,231,nike,athleisure
18,style_blogger,beige,4,5.6,2.5,89,thrift_stores,vintage
17,bella_hadid,white,5,5.4,3.1,245,hm,athleisure
22,emma_chamberlain,beige,4,7.9,2.2,35,thrift_stores,vintage
22,rihanna,green,1,6.9,2.3,163,zara,athleisure
21,none,green,4,6.0,0.6,75,adidas,athleisure
16,billie_eilish,black,1,4.6,3.4,51,shein,streetwear
22,none,beige,6,5.0,1.9,229,hm,minimal
16,none,black,7,3.1,0.8,183,urban_outfitters,streetwear
20,asap_rocky,black,2,6.8,1.0,69,adidas,streetwear
21,none,black,5,3.2,3.8,139,zara,athleisure
21,billie_eilish,black,5,4.8,3.9,74,urban_outfitters,streetwear
19,rihanna,blue,2,5.6,1.0,152,nike,athleisure
18,emma_chamberlain,brown,7,5.9,3.9,30,urban_outfitters,vintage
18,asap_rocky,red,4,5.3,2.7,164,urban_outfitters,streetwear
23,style_blogger,white,6,4.0,1.0,131,asos,minimal
19,none,white,6,2.2,1.9,214,adidas,athleisure
20,billie_eilish,white,7,2.0,2.4,128,adidas,streetwear
16,none,blue,5,1.3,1.8,240,hm,athleisure
16,style_blogger,yellow,6,2.1,1.6,74,thrift_stores,vintage
17,bella_hadid,white,2,7.2,3.8,225,adidas,athleisure
16,none,brown,2,7.5,1.4,127,zara,minimal
23,none,blue,1,5.3,0.7,246,adidas,athleisure
23,zendaya,brown,5,1.3,3.1,166,asos,minimal
16,asap_rocky,black,2,4.2,4.0,182,adidas,streetwear
19,emma_chamberlain,pink,5,5.6,3.2,136,forever21,y2k
25,asap_rocky,green,1,7.8,2.8,185,shein,streetwear
18,harry_styles,red,7,7.8,3.3,171,nike,streetwear
23,billie_eilish,green,4,2.1,0.7,193,shein,streetwear
16,bella_hadid,purple,2,5.3,3.8,88,urban_outfitters,y2k
19,asap_rocky,red,2,6.7,3.5,169,shein,streetwear
16,harry_styles,white,6,6.1,3.2,198,shein,streetwear
21,emma_chamberlain,white,5,5.8,0.8,92,zara,minimal
17,harry_styles,red,5,6.2,2.6,71,adidas,streetwear
21,none,yellow,7,2.1,2.5,44,urban_outfitters,vintage
23,none,green,2,5.6,1.6,163,nike,athleisure
20,style_blogger,beige,1,4.9,0.5,248,hm,minimal
25,none,beige,1,5.7,3.1,200,urban_outfitters,minimal
22,none,black,4,6.5,1.3,170,adidas,athleisure
25,bella_hadid,blue,6,3.5,3.3,208,nike,athleisure
19,none,white,2,4.9,2.5,62,nike,athleisure
23,none,brown,7,1.5,0.7,79,thrift_stores,vintage
25,none,white,6,3.3,2.0,255,hm,minimal
17,rihanna,green,4,3.1,1.1,106,hm,athleisure
21,none,brown,4,3.7,2.5,89,asos,vintage
20,billie_eilish,black,6,5.1,2.9,156,urban_outfitters,streetwear
18,bella_hadid,purple,5,4.4,2.0,144,forever21,y2k
20,style_blogger,beige,1,6.5,0.5,118,hm,minimal
24,harry_styles,black,1,7.7,0.7,80,shein,streetwear
25,rihanna,black,6,4.0,3.5,73,nike,athleisure
21,billie_eilish,black,3,2.0,2.4,133,adidas,streetwear
16,bella_hadid,pink,4,1.9,3.6,61,urban_outfitters,y2k
20,billie_eilish,black,5,2.8,2.8,106,nike,streetwear
25,billie_eilish,black,1,2.3,0.6,134,adidas,streetwear
20,rihanna,green,5,2.6,1.9,92,adidas,athleisure
24,style_blogger,black,2,2.2,3.8,277,urban_outfitters,minimal
24,style_blogger,beige,7,4.6,3.3,58,urban_outfitters,vintage
25,none,purple,4,4.8,3.2,61,shein,y2k
19,style_blogger,yellow,6,2.7,2.1,105,thrift_stores,vintage
25,style_blogger,white,1,3.7,3.3,210,urban_outfitters,minimal
22,none,beige,3,2.4,2.3,38,thrift_stores,vintage
23,none,black,7,2.4,3.6,131,zara,athleisure
17,harry_styles,red,5,7.3,1.5,56,adidas,streetwear
23,none,brown,4,6.7,1.6,27,asos,vintage
21,none,pink,1,3.9,3.9,40,urban_outfitters,y2k
20,emma_chamberlain,brown,3,5.8,0.8,138,zara,minimal
19,none,pink,4,7.0,3.4,34,asos,y2k
17,none,green,5,2.8,3.4,157,nike,streetwear
25,rihanna,black,4,7.3,3.1,220,nike,athleisure
17,emma_chamberlain,blue,4,4.3,3.9,51,asos,y2k
18,none,black,1,5.6,4.0,96,urban_outfitters,streetwear
22,none,blue,7,2.5,0.6,212,nike,athleisure
20,none,green,3,1.4,3.6,204,zara,athleisure
18,emma_chamberlain,blue,6,4.2,3.5,120,forever21,y2k
23,billie_eilish,red,6,7.4,1.5,133,urban_outfitters,streetwear
24,none,blue,7,5.3,2.5,87,nike,athleisure
22,none,beige,4,1.7,1.3,57,thrift_stores,vintage
16,bella_hadid,white,1,1.3,3.7,246,zara,athleisure
23,emma_chamberlain,white,7,4.7,3.4,199,zara,minimal
18,none,white,4,2.5,2.2,198,urban_outfitters,streetwear
20,none,white,7,4.0,1.6,114,urban_outfitters,streetwear
24,rihanna,black,4,6.5,2.7,80,zara,athleisure
22,emma_chamberlain,beige,4,7.7,2.6,64,asos,vintage
22,bella_hadid,purple,1,1.3,2.6,115,shein,y2k
23,bella_hadid,white,6,5.3,1.5,168,adidas,athleisure
23,none,yellow,4,1.8,1.7,81,asos,vintage
20,rihanna,white,1,6.7,1.5,113,hm,athleisure
16,billie_eilish,white,3,1.3,2.1,90,urban_outfitters,streetwear
16,none,green,4,5.7,1.5,248,zara,athleisure
25,none,pink,6,2.8,0.7,120,shein,y2k
19,zendaya,white,5,1.8,2.0,206,asos,minimal
19,dua_lipa,purple,7,5.5,2.8,70,asos,y2k
18,emma_chamberlain,red,4,2.2,2.7,92,urban_outfitters,vintage
20,zendaya,white,1,4.0,1.5,119,urban_outfitters,minimal
16,billie_eilish,green,7,4.3,3.4,111,adidas,streetwear
21,style_blogger,white,1,3.1,3.3,178,zara,minimal
17,bella_hadid,white,3,5.1,1.8,100,adidas,athleisure
24,billie_eilish,white,5,5.5,0.7,83,urban_outfitters,streetwear
16,rihanna,black,3,3.4,0.8,247,adidas,athleisure
16,none,white,6,4.2,2.9,165,adidas,streetwear
17,rihanna,white,2,1.3,0.6,134,nike,athleisure
25,bella_hadid,black,2,1.8,3.8,89,nike,athleisure
20,bella_hadid,green,3,7.7,1.9,172,nike,athleisure
21,emma_chamberlain,red,5,6.8,2.0,53,thrift_stores,vintage
25,none,beige,4,2.6,3.4,164,hm,minimal
19,none,black,3,2.5,3.2,200,zara,athleisure
18,emma_chamberlain,blue,5,2.0,3.5,48,shein,y2k
20,style_blogger,yellow,5,4.2,0.6,117,urban_outfitters,vintage
21,zendaya,black,2,7.6,1.0,99,hm,minimal
18,emma_chamberlain,yellow,2,4.4,2.3,89,urban_outfitters,vintage
23,none,green,3,3.9,3.4,238,hm,athleisure
19,dua_lipa,white,1,5.5,1.5,101,asos,y2k
23,none,white,5,7.5,0.6,62,shein,streetwear
21,none,red,5,3.5,3.3,61,urban_outfitters,vintage
23,style_blogger,black,2,6.8,1.5,242,urban_outfitters,minimal
22,billie_eilish,white,5,6.8,3.3,192,urban_outfitters,streetwear
16,emma_chamberlain,pink,6,3.9,1.9,38,asos,y2k
21,none,blue,5,7.7,2.3,232,zara,athleisure
17,harry_styles,red,2,1.5,1.9,193,nike,streetwear
17,none,green,6,3.3,2.2,175,urban_outfitters,streetwear
16,style_blogger,brown,1,6.3,1.2,38,thrift_stores,vintage
22,style_blogger,red,4,5.8,1.3,91,urban_outfitters,vintage
19,rihanna,white,7,6.0,1.9,63,nike,athleisure
17,harry_styles,black,7,2.3,3.2,98,nike,streetwear
17,none,black,6,2.7,3.1,99,nike,streetwear
24,rihanna,green,2,7.2,2.0,231,adidas,athleisure
16,none,blue,2,5.0,3.8,204,zara,athleisure
24,zendaya,beige,5,7.8,3.2,228,urban_outfitters,minimal
16,none,beige,4,8.0,0.9,163,urban_outfitters,minimal
21,emma_chamberlain,purple,6,6.4,0.5,76,shein,y2k
22,style_blogger,brown,1,5.6,2.2,110,urban_outfitters,minimal
23,none,yellow,7,1.9,3.1,53,thrift_stores,vintage
21,style_blogger,yellow,5,3.0,1.8,73,urban_outfitters,vintage
24,none,white,6,2.7,3.7,126,urban_outfitters,minimal
17,asap_rocky,white,1,7.3,1.4,180,nike,streetwear
24,emma_chamberlain,blue,7,2.5,1.0,113,forever21,y2k
21,none,red,5,3.4,3.1,183,nike,streetwear
22,bella_hadid,black,5,7.8,3.5,102,zara,athleisure
24,none,red,3,3.1,0.7,91,thrift_stores,vintage
24,style_blogger,white,2,5.1,4.0,203,hm,minimal
22,none,white,6,3.6,1.3,222,asos,minimal
22,harry_styles,red,5,6.7,2.7,94,urban_outfitters,streetwear
16,none,black,7,6.0,0.7,247,adidas,athleisure
16,dua_lipa,pink,2,3.1,3.2,149,shein,y2k
25,emma_chamberlain,brown,6,4.8,2.0,105,urban_outfitters,vintage
18,billie_eilish,black,3,6.6,3.5,157,shein,streetwear
21,harry_styles,white,6,5.0,1.4,113,shein,streetwear
24,zendaya,beige,4,6.8,3.1,289,urban_outfitters,minimal
17,emma_chamberlain,brown,5,7.0,3.2,241,urban_outfitters,minimal
19,harry_styles,white,6,7.0,2.6,133,adidas,streetwear
20,billie_eilish,green,3,2.8,1.4,153,shein,streetwear
18,bella_hadid,white,3,7.7,2.2,83,forever21,y2k
24,emma_chamberlain,white,3,7.7,2.5,196,zara,minimal
16,bella_hadid,blue,1,2.7,1.2,120,forever21,y2k
19,harry_styles,black,1,2.2,3.5,154,urban_outfitters,streetwear
24,emma_chamberlain,purple,4,6.3,1.5,80,forever21,y2k
22,none,brown,7,4.3,2.2,228,urban_outfitters,minimal
19,asap_rocky,black,4,5.5,1.8,161,shein,streetwear
25,style_blogger,white,7,3.3,2.9,103,urban_outfitters,minimal
23,none,white,4,4.0,0.6,236,adidas,athleisure
20,zendaya,white,1,7.8,1.3,133,hm,minimal
21,billie_eilish,red,4,3.2,3.1,135,shein,streetwear
19,none,purple,5,6.0,3.4,79,asos,y2k
24,none,green,6,3.8,2.6,98,nike,athleisure
16,bella_hadid,blue,7,4.6,1.4,91,nike,athleisure
25,bella_hadid,green,5,4.9,3.2,170,zara,athleisure
24,none,white,7,4.2,3.7,153,urban_outfitters,streetwear
22,none,black,6,5.7,1.1,122,nike,streetwear
16,none,blue,1,3.7,1.1,84,urban_outfitters,y2k
19,rihanna,green,6,6.9,0.8,137,zara,athleisure
23,none,white,5,4.5,3.0,256,asos,minimal
21,none,red,3,7.2,3.3,196,nike,streetwear
19,emma_chamberlain,brown,7,3.2,3.8,136,urban_outfitters,minimal
17,none,pink,1,4.8,1.5,109,shein,y2k
20,none,white,5,1.5,3.2,116,hm,athleisure
17,none,white,1,5.5,2.9,106,adidas,athleisure
22,billie_eilish,red,2,7.6,3.7,197,urban_outfitters,streetwear
23,harry_styles,black,4,3.8,3.1,55,adidas,streetwear
25,style_blogger,red,2,4.6,3.1,90,thrift_stores,vintage
17,harry_styles,green,7,7.7,1.5,88,urban_outfitters,streetwear
21,style_blogger,brown,2,5.9,1.8,85,thrift_stores,vintage
25,none,white,4,1.0,1.1,246,nike,athleisure
18,asap_rocky,green,5,2.4,2.6,199,shein,streetwear
17,rihanna,blue,1,4.8,3.8,104,adidas,athleisure
25,none,black,6,1.7,0.5,91,nike,athleisure
21,none,black,7,6.7,2.3,212,adidas,athleisure
25,bella_hadid,blue,4,2.4,2.8,70,shein,y2k
20,none,beige,6,2.9,1.4,142,hm,minimal
23,bella_hadid,black,2,3.6,1.7,220,zara,athleisure
17,none,white,3,5.3,3.1,106,asos,y2k
23,bella_hadid,white,6,6.6,1.7,110,asos,y2k
16,emma_chamberlain,white,2,2.7,3.0,114,forever21,y2k
25,none,black,2,4.5,3.2,138,nike,athleisure
25,billie_eilish,white,4,2.5,1.5,110,nike,streetwear
18,none,black,5,1.5,1.1,97,nike,athleisure
20,none,brown,5,1.1,3.7,162,zara,minimal
23,style_blogger,yellow,5,3.2,3.7,71,asos,vintage
20,bella_hadid,white,1,1.7,1.9,98,nike,athleisure
18,dua_lipa,blue,1,3.4,2.1,34,urban_outfitters,y2k
24,asap_rocky,white,6,3.7,2.2,136,urban_outfitters,streetwear
16,none,blue,6,4.8,1.7,137,urban_outfitters,y2k
25,zendaya,black,1,2.5,1.6,194,zara,minimal
22,billie_eilish,black,3,4.9,2.0,192,shein,streetwear
16,none,yellow,2,3.9,3.5,84,thrift_stores,vintage
17,none,white,7,2.0,2.9,113,shein,streetwear
22,none,white,5,6.4,2.6,107,adidas,streetwear
24,style_blogger,yellow,1,6.1,2.9,51,urban_outfitters,vintage
23,none,brown,1,4.7,2.3,187,hm,minimal
18,none,purple,1,6.6,3.7,82,forever21,y2k
17,none,black,4,4.8,3.9,153,shein,streetwear
17,none,white,3,2.5,1.7,182,nike,athleisure
23,billie_eilish,white,7,6.0,0.5,165,urban_outfitters,streetwear
17,style_blogger,beige,7,1.3,2.5,203,zara,minimal
24,none,yellow,4,2.0,2.8,58,urban_outfitters,vintage
22,style_blogger,beige,7,5.2,2.0,77,asos,vintage
25,style_blogger,black,5,6.0,1.4,249,hm,minimal
23,emma_chamberlain,red,4,6.1,3.1,21,thrift_stores,vintage
16,emma_chamberlain,beige,1,2.9,2.9,42,urban_outfitters,vintage
18,emma_chamberlain,purple,5,5.9,1.3,74,asos,y2k
19,bella_hadid,white,7,7.9,3.3,108,asos,y2k
25,style_blogger,beige,6,1.2,3.6,20,thrift_stores,vintage
18,emma_chamberlain,white,6,7.2,1.6,77,forever21,y2k
22,none,white,5,1.5,0.8,104,asos,y2k
19,none,white,5,4.3,2.5,90,asos,y2k
16,none,white,7,1.6,1.6,83,urban_outfitters,y2k
21,none,white,7,4.6,0.5,149,urban_outfitters,streetwear
18,none,white,5,6.3,2.0,104,zara,minimal
25,harry_styles,white,6,3.6,2.7,136,shein,streetwear
20,none,blue,6,5.2,0.7,142,forever21,y2k
17,none,black,5,1.4,2.8,134,nike,athleisure
24,style_blogger,brown,1,2.3,3.0,83,asos,vintage
21,style_blogger,yellow,1,5.3,2.9,69,thrift_stores,vintage
23,none,white,5,2.1,2.5,263,urban_outfitters,minimal
21,emma_chamberlain,yellow,4,1.2,2.0,59,urban_outfitters,vintage
16,none,brown,5,7.8,2.9,141,asos,minimal
20,none,beige,2,5.8,2.6,258,zara,minimal
24,none,black,5,7.8,3.4,79,adidas,athleisure
25,zendaya,white,2,2.6,2.1,257,hm,minimal
21,zendaya,white,6,2.2,0.9,163,urban_outfitters,minimal
23,asap_rocky,white,4,6.8,1.8,142,urban_outfitters,streetwear
19,zendaya,beige,2,3.4,3.5,165,urban_outfitters,minimal
23,billie_eilish,black,5,4.3,3.2,95,shein,streetwear
23,style_blogger,beige,7,3.1,3.4,36,thrift_stores,vintage
25,bella_hadid,black,3,7.9,2.8,148,adidas,athleisure
25,none,green,4,1.1,2.3,140,zara,athleisure
24,bella_hadid,green,2,1.9,2.9,130,nike,athleisure
24,none,yellow,1,4.6,3.5,25,urban_outfitters,vintage
21,none,white,7,5.0,1.1,219,nike,athleisure
18,asap_rocky,red,6,7.8,2.5,199,adidas,streetwear
24,emma_chamberlain,brown,3,6.9,3.3,266,hm,minimal
19,emma_chamberlain,beige,6,6.3,2.7,163,zara,minimal
25,style_blogger,black,1,3.5,0.8,261,zara,minimal
25,none,green,2,6.5,2.6,131,nike,athleisure
20,none,black,7,5.2,4.0,61,zara,athleisure
17,none,black,7,5.5,1.3,153,nike,athleisure
